DISTRACTOR,CARD,1,
DISTRACTOR,DART,2,
DISTRACTOR,FACE,3,
DISTRACTOR,JACK,6,
DISTRACTOR,KING,7,
DISTRACTOR,LAMB,8,
DISTRACTOR,MASK,9,
DISTRACTOR,NECK,0,
DISTRACTOR,PIPE,1,
DISTRACTOR,QUIP,2,
DISTRACTOR,ROPE,3,
DISTRACTOR,SOCK,4,
DISTRACTOR,TENT,5,
DISTRACTOR,VENT,6,
DISTRACTOR,WALL,7,
DISTRACTOR,XRAY,8,
DISTRACTOR,ZINC,9,
DISTRACTOR,CAMP,1,
DISTRACTOR,COIN,2,
DISTRACTOR,DAWN,3,
DISTRACTOR,FOAM,4,
DISTRACTOR,HALL,6,
DISTRACTOR,JAIL,7,
DISTRACTOR,KISS,8,
DISTRACTOR,LAWN,9,
DISTRACTOR,MULE,1,
DISTRACTOR,NAIL,2,
DISTRACTOR,POLE,3,
DISTRACTOR,ROCK,4,
DISTRACTOR,SEAT,5,
DISTRACTOR,STAR,7,
DISTRACTOR,TANK,8,
DISTRACTOR,TOOL,9,
DISTRACTOR,ARMY,0,
DISTRACTOR,CELL,1,
DISTRACTOR,CHIN,3,
DISTRACTOR,DELL,4,
DISTRACTOR,FROG,6,
DISTRACTOR,FOWL,7,
DISTRACTOR,OATS,9,
DISTRACTOR,SERF,0,
DISTRACTOR,SOUL,1,
DISTRACTOR,SOIL,2,
DISTRACTOR,STUB,3,
DISTRACTOR,SUDS,4,
DISTRACTOR,VEST,6,
DISTRACTOR,UNIT,7,
DISTRACTOR,WINE,8,
DISTRACTOR,WIFE,9,
